"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"Cdh22",7.35543616328984,7.47435226396328,7.38262190441229,8.2353785305552,7.91926954017716,8.70546981202688,8.86964704942784,8.41442823880783,8.92238322670303,8.64568170281267,9.09708457458339,8.68193513059997
"Card10",7.60290091247256,7.96448283676885,7.84364389751883,7.60011934998893,7.7263547352877,8.47858974170502,9.23192703494503,9.14075990009642,9.39123384061028,9.19513416573739,9.00290783073874,9.26826619263508
"Chrna3",5.25368457741762,5.93496618673072,5.62749080067799,5.62700268591956,6.22358268244133,7.60555090765978,6.93588723526953,7.26521468679948,7.6213425838525,6.47737974252957,6.75472591473923,6.4408503687774
"Igf2os",6.32264230985205,6.58472767630129,5.57406949959953,6.09842797042758,5.5393402677773,6.40448669086607,7.14064963154789,7.00746004544444,7.37504347431779,6.97780854887703,6.53978688052273,6.63646954632293
"Acan",7.36914720320332,7.5588559652355,7.25820759278419,10.3748773106761,9.202898374265,10.7549011475138,7.44524726497782,7.35586163109587,7.13727948644229,8.07352468681782,8.09630768873012,8.16513059833677
"Alox12b",7.06794710413571,6.8460864362977,6.61290140653922,5.94029845717446,5.82593307192918,5.26313573869556,7.04447184007968,7.40137271592188,7.39048565367721,7.17786047652876,6.73030821242841,7.30688783479354
"Apaf1",7.81922293702464,7.37942945111318,7.9814901797346,8.65757282152986,8.38436153245891,8.4948591118961,9.03974372298857,8.44365478558771,9.08214140848946,9.56835298620947,9.87535306645803,10.1581403276292
"Aqp5",5.29673210422586,5.13850026181411,5.37063413473713,5.28281732628497,5.61168944278479,5.25741232336416,6.56083024208701,6.14330549927489,6.48474127573564,6.2472139230458,6.44858218800732,6.56678440004373
"Arc",10.3648400669972,10.1202188404151,9.767025374534,12.6538168326824,12.5862264349433,12.8305852083903,8.84768915018349,8.85654431756834,8.37165542342964,11.9442443302247,12.2741444319216,12.1085941146864
"Bmp2",6.15588161631238,5.85742461573992,6.24911203364851,7.27498345529764,6.89310966087529,6.56093217795065,7.10216597399339,7.06578252012621,7.13943563558345,7.2551736679401,7.39176772306198,7.17791671350742
"Casp3",7.79278479777908,7.62423395620439,7.93110935559158,8.60442857732562,8.77937893827784,8.3827471363958,8.90715528776269,8.70396047760999,8.83918013191701,9.36269953316772,9.31114270583267,9.48930290910998
"Cd24a",8.68697666397705,8.81669345442308,8.7055224559054,9.52588656271635,10.2463574390866,10.1072702608193,9.89301123810498,10.0172966964424,9.70907665752265,10.3935884647043,10.3237107972167,10.5649227901023
"Cd34",9.48502558214644,8.77348332003,9.07562685323665,8.95422402269541,9.07453356136443,8.30591169490487,8.06280019434723,8.38987021021462,7.80604825654342,8.71582764266605,8.68560583800973,8.28608587336782
"Cdr2",8.15387761599309,8.16962693084638,8.38049029663622,8.66085782608113,9.04555133914845,9.02522481175787,10.5059220692767,10.2298137712049,10.2835607534681,10.2876389376261,10.3587203797016,10.3345067284162
"Cldn3",5.74005857505428,5.62361541216329,5.93866189447806,5.35802372310887,6.42569548570231,6.2647086265143,6.87226106384281,6.9985254447234,7.33815179982257,7.44952585309314,7.00683845788957,6.70694676126826
"Col6a1",6.79224251772903,7.02639572325057,6.69740790509019,6.36324001159619,6.47520924347515,7.31869096609819,9.08575166566404,8.32317705250458,8.618014428288,8.84378770503598,9.02120136535774,9.10100908548225
"Col6a2",5.74590822239358,7.31752503963769,6.78712334132173,7.16305131558823,7.25030711870309,7.43128135478367,8.27417344202569,7.25913517931008,7.54644691711724,7.81072607685813,8.36918592380841,8.21432531911596
"Crlf1",8.73638865799693,8.66629194427662,8.67022082902149,8.18924816015119,8.62449391247326,8.79472722129827,7.57204212839782,7.23072011972449,7.52405167048117,7.58177735343516,7.59922302466138,7.84852200479254
"Crybb3",6.1035348518217,6.43477722106087,5.82685614410759,6.96434667422471,6.80970667630004,6.72862848417969,7.22364732597531,7.21526593099877,7.26892436419104,7.42315492805529,7.23731092991628,7.46859719939147
"Lefty1",10.2630260811607,10.044559179182,9.90989684422238,9.5222916873562,9.26856603651579,8.39615084936833,8.95278101954027,9.17841875900066,8.92842401031274,9.20926749743809,8.25929257243079,8.72918286217333
"Ecel1",6.31154787276455,6.63034476399241,6.51144222634168,5.99178027888977,6.4531825112777,6.38446589269607,7.89336569868104,7.49792125180634,7.29479274296893,7.34404551708585,7.10652228436963,7.81872339864005
"Epha7",10.9570383846567,10.9918598167524,10.9171555404495,10.3949506034103,10.2413743101821,10.4168533093156,10.1638568453491,10.6568147078894,10.0413129074915,9.48907656353679,9.19564534370821,8.78627999934371
"Fcgr2b",7.04982791606654,7.13462141262274,7.06522579663765,7.87556479259594,7.60797065280444,7.95457807809244,8.64106919549945,7.96267982164375,8.14466101266926,8.17984625390604,8.03252031658723,8.2313548448313
"Fkbp5",10.0191311146014,9.88825867759267,10.062048787588,10.1467370528657,9.90664361319524,10.061039847889,10.9658954883089,10.9108275249531,11.1210555902257,10.5768534207179,10.6163531087691,10.7494594151639
"Gap43",9.35663748588443,9.16436173355373,9.53738387820776,9.1380791018129,9.28063879275479,8.89480176972814,10.1387289776156,10.1760517445095,10.2416649482099,10.1529725507176,10.0762894883953,10.1253410023777
"Gnb4",7.48411407615946,7.66724005952225,7.56980515165753,7.94013838678972,7.74332464108282,8.08204195630568,8.60049942711259,8.48906814724887,8.7135890808698,8.57308443460212,8.52611740610291,8.72950105969342
"Nr4a1",10.6207859686461,10.493500260563,10.0164169130347,11.4798960675031,11.8002291797038,11.1487821653038,9.14924850941581,9.24888167639025,9.06784996032579,11.4116195770264,10.6673815587453,11.1676169995594
"Ier5",9.80231753687999,9.66617372758049,9.50405833167809,11.9054118180893,11.6538654239399,11.8757367695594,9.31888331220555,9.17757401799215,8.93936293142287,10.9917036446858,10.7143786018904,10.6565949905014
"Igfbp6",7.60736801386378,7.79461251243646,7.51732008902336,7.1689432503342,7.03276811039865,7.65078001094688,8.71299343358508,8.53280299204007,8.75607609712856,8.10294982713213,8.31535036937917,8.46600451493918
"Ighm",8.77399135009135,8.23947271599691,8.66246910388491,8.83227093480316,8.55304946731722,9.01458795233471,6.52673254368965,7.14780348709605,6.80814136565543,7.31774609704129,7.6450511748053,7.24381985304415
"Inhba",8.95514270054228,8.54411813327629,8.74660024563431,10.7511197193138,9.95847445398806,11.0484815927145,8.40221532544096,8.45970862672527,8.11352665607652,8.50377360911448,8.46565575430567,8.58879190394471
"Kcna5",5.80376044248237,5.88513575540405,6.49640894804792,6.67102047834999,6.53083227307903,6.7948811821325,7.92762654682543,7.49492018508284,8.23957761120466,7.72612435319365,7.65107378353631,7.93034199677931
"Kcnu1",7.11917872120177,6.77727137184442,6.87283095138693,6.39006596720846,6.8249449634088,6.59756532812553,8.04191054447934,7.46741628437835,8.29757491130453,7.50103892077103,7.05480290111861,7.61347378918318
"Kif5b",9.07424174781814,9.6802841376912,8.85901957181703,10.5409433531287,9.96052019932063,9.04134813815902,8.90914061356857,9.4771172459619,9.11665903497548,9.09655271443272,8.6696205991971,8.69840070781178
"Klf4",7.99332508783738,7.64441347306243,7.75239156877278,9.11025589638552,9.25728529863823,8.58026648180752,7.57378667661771,7.71103011310541,7.9984232413439,10.8767566055121,9.59339942245245,9.90858491926537
"Lox",6.04089954696808,6.51106298030467,6.3423433644698,6.51325211104915,6.62297625928644,7.2051745624025,8.64864337405553,8.35985465924582,8.57709680589717,8.53671626434128,9.23517540743162,8.9120416741335
"Ltbp2",5.63082493393799,6.06103089742223,5.87671018157102,5.89147368352669,5.29677188361301,6.1220742256917,7.40325737231362,6.85456561758678,6.75197518424264,6.95103509439644,7.17914433979372,7.61331100032959
