"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"1432675_at",5.76121463509069,6.30227767477775,5.9632153665489,5.6444066604849,5.97022260373837,5.83190198939512,5.62962510854847,5.92695265370174,5.27724423130391,5.24159107132577,5.24832387005324,5.75905275359497
"1455715_at",8.65230681511585,8.54916147866751,8.58968543346288,8.0934406026129,8.43406129497877,8.01514435248718,9.19290608542807,9.10724571363101,9.00790533227609,8.98813518328744,8.52013158101299,8.8917765247891
"1452405_x_at",6.05462250244223,6.60943786217013,5.97166907445071,6.38609423621156,6.52715714747409,6.56296491478249,6.08654282618309,6.3613824737285,6.50953936431509,6.45965517961109,6.62097414626052,5.96603024688245
"1438564_at",5.83342555783043,6.34089141501297,5.66479580287425,6.0251108614639,6.06288103128392,6.39680582775794,6.15400319804607,5.9418087798107,6.13610134812551,5.60595941665445,6.22915823854589,5.42541437125948
"1455040_s_at",8.83506742574531,8.78983844487157,8.85572796115581,7.99447049877499,8.21275948975492,7.74373015179993,8.29894015351218,8.24507888808451,8.42919766305234,7.94509921734634,7.65667286783493,7.93394612576328
"1427822_a_at",6.49994695488498,6.57969480193147,6.25811652705648,6.75213558371131,7.41231911502582,6.89304600241381,6.65041420061086,7.03084544964659,6.91890609632869,7.35488270424158,8.10278557421847,7.31854997098511
"1416106_at",8.33618193516784,8.22394678951022,8.49810202163375,9.39413710354315,9.25645235499442,9.27769586263096,8.42195512291727,8.36884530859674,8.58272060525404,8.75804855786002,9.27239785339095,9.01720786803008
"1427628_at",5.54922856502218,5.77602676268287,5.96991079471974,5.77313014642188,5.13938183394073,5.20790615265321,5.8826030861216,5.28801352766356,5.41206870927393,5.80112552198446,5.16425161349146,5.24195675371067
"1427118_at",6.07984710384342,6.7458002101857,6.29721111771194,6.78883878202758,6.86218035089857,6.45703326737223,6.75376337484073,5.84114780836308,6.86715072946792,6.56481896009307,6.47081475389598,7.22567380764887
"1426973_at",6.46333599836658,6.44140379050267,7.00952032752398,6.54909345724968,6.61109181201881,7.20912238015557,7.18097771049656,7.02795336231168,7.48192034899318,6.63580979646041,6.7598925511643,6.73817064023449
